"row_id","order_id","order_date","ship_date","ship_mode","customer_id","customer_name","segment","country","city","state","postal_code","region","product_id","category","sub_category","product_name","sales","quantity","discount","profit","order_priority","shipping_cost","customer_tenure","marketing_channel","product_rating","return_status","payment_method"
16871,"CA-2014-162775","2014-01-13","2014-01-15","Second Class","CS-12250","Chris Selesnick","Corporate","United States","Bossier City","Louisiana","71111","South","TEC-AC-10003174","Technology","Accessories","Plantronics S12 Corded Telephone Headset System","646.74",6,"0","258.7","High","61.17","Returning","Referral","4","Yes","Credit Card"
9486,"US-2014-147627","2014-01-20","2014-01-26","Standard Class","HL-15040","Hunter Lopez","Consumer","United States","Jonesboro","Arkansas","72401","South","TEC-PH-10001061","Technology","Phones","Apple iPhone 5C","699.93",7,"0","181.98","Critical","70.8","Returning","Direct","4","Yes","Cash on Delivery"
69575,"US-2014-147627","2014-01-20","2014-01-26","Standard Class","HL-15040","Hunter Lopez","Consumer","United States","Jonesboro","Arkansas","72401","South","TEC-PH-10001061","Technology","Phones","Apple iPhone 5C","699.93",7,"0","181.98","Critical","47.57","Returning","Email","1","Yes","Credit Card"
80756,"US-2014-147627","2014-01-20","2014-01-26","Standard Class","HL-15040","Hunter Lopez","Consumer","United States","Jonesboro","Arkansas","72401","South","FUR-CH-10002331","Furniture","Chairs","Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","1067.94",3,"0","224.27","Critical","102.84","Returning","Email","2","Yes","Cash on Delivery"
17878,"CA-2014-127614","2014-02-11","2014-02-15","Standard Class","NF-18385","Natalie Fritzler","Consumer","United States","Chesapeake","Virginia","23320","South","FUR-TA-10003715","Furniture","Tables","Hon 2111 Invitation Series Corner Table","1256.22",6,"0","75.37","High","138.13","New","Email","3","Yes","UPI"
56126,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Low","30.45","Returning","Social Media","4","No","UPI"
30418,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Critical","47.85","New","Direct","4","No","Cash on Delivery"
30451,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Critical","42.85","New","Ads","3","No","Net Banking"
47958,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Medium","34.99","Returning","Referral","5","No","Net Banking"
74218,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Medium","25.17","Returning","Social Media","5","No","Net Banking"
3083,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Medium","24.72","New","Social Media","3","No","Cash on Delivery"
73045,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Low","50.1","Returning","Ads","5","Yes","Cash on Delivery"
85061,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Medium","31.83","Returning","Social Media","2","Yes","UPI"
55964,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Medium","55.58","Returning","Social Media","5","Yes","Cash on Delivery"
18634,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Critical","23.89","Returning","Email","3","No","UPI"
27597,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","High","49.6","New","Referral","3","No","Cash on Delivery"
27341,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","High","37.52","Returning","Social Media","5","No","Credit Card"
63515,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Medium","40.39","Returning","Social Media","0","No","Net Banking"
3881,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Low","28.38","New","Direct","3","No","Net Banking"
62097,"CA-2014-131009","2014-03-01","2014-03-05","Standard Class","SC-20380","Shahid Collister","Consumer","United States","El Paso","Texas","79907","Central","FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair","362.25",6,"0.3","0","Critical","53.29","Returning","Direct","3","No","Cash on Delivery"
80669,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Medium","53.5","Returning","Ads","3","Yes","UPI"
66667,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Low","38.94","Returning","Social Media","3","No","Credit Card"
97433,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Medium","36.46","Returning","Social Media","4","No","Net Banking"
78818,"CA-2014-168312","2014-03-01","2014-03-07","Standard Class","GW-14605","Giulietta Weimer","Consumer","United States","Houston","Texas","77036","Central","FUR-TA-10001866","Furniture","Tables","Bevis Round Conference Room Tables and Bases","376.51",3,"0.3","-43.03","Low","53.95","Returning","Social Media","3","No","Cash on Delivery"
67881,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","High","30.75","Returning","Direct","3","No","Net Banking"
73717,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","High","32.59","Returning","Referral","3","No","Cash on Delivery"
73481,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","Low","35.53","New","Ads","5","No","Cash on Delivery"
7156,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","Medium","26.28","Returning","Direct","4","No","UPI"
66137,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","Critical","26.5","Returning","Email","4","No","Credit Card"
73023,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","Medium",NULL,"Returning","Referral","3","Yes","Net Banking"
24805,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","Low","26.06","New","Referral","2","Yes","Net Banking"
22901,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","High","17.05","Returning","Social Media","1","No","Net Banking"
99968,"US-2014-127978","2014-03-03","2014-03-08","Standard Class","JS-15595","Jill Stevenson","Corporate","United States","Columbus","Ohio","43229","East","FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine","302.45",5,"0.5","-199.62","Critical","15.45","Returning","Social Media","5","No","UPI"
92296,"CA-2014-114790","2014-03-11","2014-03-13","Second Class","FM-14215","Filia McAdams","Corporate","United States","Richmond","Kentucky","40475","South","TEC-PH-10000984","Technology","Phones","Panasonic KX-TG9471B","587.97",3,"0","164.63","Medium",NULL,"New","Ads","1","Yes","Cash on Delivery"
49191,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Medium","88.6","Returning","Email","2","No","Cash on Delivery"
59604,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","1071.58",4,"0.4","-553.65","Medium","102.52","Returning","Ads","4","No","UPI"
43870,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Critical","143.78","Returning","Ads","4","No","Credit Card"
57403,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","1071.58",4,"0.4","-553.65","Critical","155","Returning","Ads","3","No","UPI"
71604,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","1071.58",4,"0.4","-553.65","Critical","66.82","Returning","Direct","3","No","Net Banking"
33851,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10004175","Furniture","Tables","Hon 30"" x 60"" Table with Locking Drawer","613.91",3,"0.4","-122.78","High","76.96","Returning","Ads","4","No","Net Banking"
33242,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","1071.58",4,"0.4","-553.65","Low","113.81","Returning","Email","4","No","Cash on Delivery"
51240,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10004175","Furniture","Tables","Hon 30"" x 60"" Table with Locking Drawer","613.91",3,"0.4","-122.78",NULL,"65.88","Returning","Email","4","No","Net Banking"
39953,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Low","84.31","Returning","Direct","4","No","Cash on Delivery"
53930,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","High","112.01","Returning","Ads","3","No","Net Banking"
49654,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","1071.58",4,"0.4","-553.65","Medium","132.79","Returning","Email","3","No","UPI"
32064,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Medium","199.78","Returning","Referral","3","No","Cash on Delivery"
51106,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Medium","171.62","Returning","Direct","4","No","Cash on Delivery"
27909,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10004175","Furniture","Tables","Hon 30"" x 60"" Table with Locking Drawer","613.91",3,"0.4","-122.78","Medium","86.14","Returning","Referral","2","No","UPI"
88653,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Medium","148.74","Returning","Ads","2","No","Net Banking"
17090,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Critical","127.93","Returning","Ads","1","No","UPI"
96298,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","1579.75",7,"0.4","-447.59","Critical","115.23","Returning","Ads","5","No","Net Banking"
30856,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","1071.58",4,"0.4","-553.65","High","100.86","New","Social Media","4","No","Credit Card"
68885,"US-2014-148838","2014-03-17","2014-03-21","Standard Class","CP-12340","Christine Phan","Corporate","United States","New York City","New York","10024","East","FUR-TA-10001950","Furniture","Tables","Balt Solid Wood Round Tables","1071.58",4,"0.4","-553.65","Medium","146.74","New","Ads","5","No","UPI"
